carrier_group,reporting_airport,origin_destination,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
Ryanair,STANSTED,TARBES-LOURDES INTERNATIONAL,265,2,3.00000009,0.011320755056603774,0.00749063670411985,16.31320754716981
Jet2.com,LEEDS BRADFORD,ALICANTE,604,4,6.83333318,0.011313465529801324,0.006578947368421052,17.251655629139073
Ryanair,STANSTED,MARSEILLE,703,3,7.9090912,0.0112504853485064,0.00424929178470255,22.85348506401138
British Airways,HEATHROW,AUSTIN (BERGSTROM),524,17,5.89282147,0.0112458425,0.031423290203327174,22.162213740458014
Air Canada,HEATHROW,VANCOUVER,358,7,3.99999956,0.01117318312849162,0.019178082191780823,11.606145251396647
British Airways,HEATHROW,HYDERABAD ( RAJIV GHANDI ),356,4,3.9666661899999998,0.011142320758426966,0.011111111111111112,13.50561797752809
Jet2.com,MANCHESTER,LARNACA,180,1,2.00000008,0.011111111555555555,0.0055248618784530384,49.96666666666667
Jet2.com,MANCHESTER,PRAGUE,171,2,1.89999999,0.01111111105263158,0.011560693641618497,19.923976608187136
British Airways,HEATHROW,HONG KONG (CHEK LAP KOK),360,4,3.99999956,0.011111109888888889,0.01098901098901099,9.194444444444445
easyJet,MANCHESTER,DALAMAN,444,6,4.93137824,0.011106707747747748,0.013333333333333334,28.58783783783784
Loganair Ltd,ABERDEEN,BELFAST CITY (GEORGE BEST),260,2,2.8823529700000003,0.011085972961538463,0.007633587786259542,10.934615384615384
Air India,BIRMINGHAM,AMRITSAR,160,10,1.7692308100000003,0.011057692562500002,0.058823529411764705,23.70625
