carrier_group,reporting_airport,origin_destination,month,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
British Airways,HEATHROW,SINGAPORE,9,30,1,1.9354839000000001,0.06451613,0.03225806451612903,83.0
Qantas,HEATHROW,PERTH (AUSTRALIA),7,30,1,1.9354839000000001,0.06451613,0.03225806451612903,65.0
Delta Airlines,HEATHROW,DETROIT,8,31,0,2.0000000300000003,0.06451613,0.0,24.0
Blue Islands Limited,EAST MIDLANDS INTERNATIONAL,JERSEY,7,31,0,2.0000000300000003,0.06451613,0.0,40.0
Air China,GATWICK,BEIJING,7,31,0,2.0000000300000003,0.06451613,0.0,37.0
British Airways,GATWICK,CANCUN,4,30,1,1.9354839000000001,0.06451613,0.03225806451612903,110.0
British Airways,HEATHROW,ACCRA,10,31,0,2.0000000300000003,0.06451613,0.0,52.0
easyJet,GATWICK,MARSEILLE,7,58,4,3.74193554,0.06451613,0.06451612903225806,56.0
American Airlines,HEATHROW,CHARLOTTE,5,91,2,5.8709678300000006,0.06451613,0.021505376344086023,74.0
easyJet,ISLE OF MAN,LIVERPOOL (JOHN LENNON),1,29,2,1.87096777,0.06451613,0.06451612903225806,27.0
Wizz Air,LUTON,BRATISLAVA,7,31,0,2.0000000300000003,0.06451613,0.0,16.0
Avianca Colombia,HEATHROW,BOGOTA,10,31,0,2.0000000300000003,0.06451613,0.0,26.0
easyJet,GATWICK,LISBON,3,93,5,6.00000009,0.06451613,0.05102040816326531,43.0
American Airlines,HEATHROW,MIAMI INTERNATIONAL,3,60,2,3.8709678000000003,0.06451613,0.03225806451612903,72.0
Israir Ltd,LUTON,TEL AVIV,4,31,0,2.0000000300000003,0.06451613,0.0,27.0
Wizz Air,LUTON,BACAU,3,31,0,2.0000000300000003,0.06451613,0.0,21.0
American Airlines,HEATHROW,LOS ANGELES INTERNATIONAL,3,59,3,3.8064516700000004,0.06451613,0.04838709677419355,65.0
Blue Islands Limited,JERSEY,EXETER,5,31,0,2.0000000300000003,0.06451613,0.0,39.0
Delta Airlines,HEATHROW,BOSTON,10,31,0,2.0000000300000003,0.06451613,0.0,25.0
British Airways,HEATHROW,ABUJA,10,31,0,1.99999972,0.06451612,0.0,44.0
Qantas,HEATHROW,SYDNEY,1,31,0,1.99999972,0.06451612,0.0,84.0
Qantas,HEATHROW,PERTH (AUSTRALIA),10,31,0,1.99999972,0.06451612,0.0,43.0
Wizz Air,GATWICK,JEDDAH,8,31,0,1.99999972,0.06451612,0.0,68.0
American Airlines,HEATHROW,CHICAGO (O'HARE),8,93,0,5.99999916,0.06451612,0.0,71.0
American Airlines,HEATHROW,BOSTON,5,31,0,1.99999972,0.06451612,0.0,44.0
Ryanair,STANSTED,WARSAW (MODLIN MASOVIA),12,46,1,2.9361703400000003,0.06382979000000001,0.02127659574468085,36.0
Jet2.com,MANCHESTER,ARRECIFE,1,47,0,3.00000013,0.06382979,0.0,37.0
easyJet,LUTON,GENEVA,7,47,0,3.00000013,0.06382979,0.0,61.0
Aurigny Air Services,SOUTHAMPTON,ALDERNEY,5,57,6,3.61904799,0.06349207,0.09523809523809523,39.0
easyJet,GATWICK,ABERDEEN,1,61,2,3.87301566,0.06349206,0.031746031746031744,38.0
Ryanair,STANSTED,LIMOGES,10,31,1,1.96551727,0.0634037829032258,0.03125,33.70967741935484
Aeromexico,HEATHROW,MEXICO CITY,5,31,1,1.9375,0.0625,0.03125,55.0
British Airways,HEATHROW,VANCOUVER,5,48,0,3.0,0.0625,0.0,67.0
